A	một
Abandon	từ bỏ
Ability	có khả năng
Abioseston	chất vô cơ lơ lửng
Abiotic	vô sinh
Abiotrophic	kiệt sức sống
Abirritant	thuốc giảm kích thích
Abirritate	giảm kích thích
Abirritation	sự giảm kích thích
Abject	hèn hạ, thấp hèn, đê tiện, đáng khinh
Abjection	sự hèn hạ, sự thấp hèn, sự đê tiện
Abjectly	hèn hạ, đê tiện
Abjectness	sự hèn hạ, sự thấp hèn, sự đê tiện, sự đáng khinh
Abjudicate	tuyên bố từ bỏ
Abjuration	sự tuyên bố bỏ, sự thề bỏ
Abjurer	- xem abjure
Ablactation	sự cai sữa
Ablastous	không mầm
Ablate	cắt bỏ
Ablation	sự cắt bỏ (một bộ phận trong cơ thể)
Ablative	cách công cụ
Ablaze	rực cháy, bốc cháy
Able	có thể
Able seaman	thủy thủ hạng nhất
Able-bodied	khoẻ mạnh
Ablegate	đại sứ giáo hoàng
Ablen	cá aplet, cá vảy bạc
Ableness	năng lực, tài năng
Ablepsia	tật mù
Ablet	cá aplet, cá vảy bạc (họ cá chép)
Ablings	có lẽ, có thể
Ablins	có lẽ, có thể
Abloom	đang nở (hoa)
Abluent	rửa sạch, tẩy sạch
Ablush	thẹn đỏ mặt
Ablution	lễ rửa tội
Ably	có khả năng, có tài, khéo léo, tài tình
Abnegate	nhịn
Abnegation	sự bỏ
Abnegator	- xem abnegate
Abnormal	không bình thường, khác thường
Abnormalcy	sự không bình thường, sự khác thường
Abnormality	sự không bình thường, sự khác thường
Abnormally	dị thường, khác thường
Abnormity	sự không bình thường, sự khác thường
Abo	thổ dân
Aboard	trên tàu, trên boong tàu, trên thuyền, trên xe lửa
Aboil	đang sôi
Abolishable	có thể thủ tiêu, có thể bãi bỏ, có thể huỷ bỏ
Abolisher	người thủ tiêu, người bãi bỏ, người huỷ bỏ
Abolishment	sự thủ tiêu, sự bãi bỏ, sự huỷ bỏ
Abolitionise	làm cho theo chủ nghĩa bãi nô
Abolitionism	(sử học) chủ nghĩa bãi nô
Abolitionist	người theo chủ nghĩa bãi nô
Abolitionizea	làm cho theo chủ nghĩa bãi nô
Abomasum	dạ múi khế túi (động vật nhai lại)
Abominable snowman	người tuyết
Abominableness	sự ghê tởm, sự kinh tởm
Abominably	một cách đáng ghê tởm
Abominate	ghê tởm
Abomination	sự ghê tởm, sự kinh tởm
Abominator	xem abominate
Abonent	người thuê bao
Aboral	(sinh học) xa miệng
Aboriginal	(thuộc) thổ dân
Aboriginality	đặc điểm nguyên sơ
Aboriginally	- xem aboriginal
Aborigines	thổ dân
Abort	sẩy thai
Aborted	bị sẩy (thai)
Aborticide	thuốc giết thai
Abortifacient	phá thai, làm sẩy thai
Abortin	chất sẩy thai
Abortion	sự phá thai
Abortion mechanism	cơ năng bỏ dở
Abortionist	người phá thai
Abortive	đẻ non
Abortive subexit	lối thoát phụ khi bỏ dở
Abortively	non yểu
Abortiveness	sự đẻ non
Aboulia	chứng mất ý chí
Abounding	nhiều, phong phú, thừa thãi
About	trong khoảng
About-face	sự quay đằng sau
About-sledge	búa tạ
About-turn	sự thay đổi ý kiến, sự đổi ý
About	về
Above	ở trên
Above-board	thẳng thắn, không che đậy, không giấu giếm
Above-cited	đã dẫn, đã nhắc đến
Above-ground	ở trên mặt đất
Above-mentioned	kể trên, nói trên
Above-named	đã nói ở trên
Aboveboard	thẳng thắn, không che đậy, không giấu giếm
Aboveground	ở trên mặt đất
Abovementioned	kể trên, nói trên
Abracadabra	câu thần chú
Abrachia	tật thiếu tay
Abrachiate	thiếu tay
Abrachius	quái thai không tay
Abradant	làm mòn, mài mòn
Abrade	làm trầy (da)
Abrase	cắt mất
Abrasion	sự làm trầy (da)
Abrasive	làm trầy (da)
Abreact	giải toả mặc cảm
Abreaction	(y học) sự giải toả mặc cảm
Abreast	cùng hàng, sóng hàng, ngang nhau
Abrego	(động vật) cá ngừ vây dài
Abridge	rút ngắn lại, cô gọn, tóm tắt
Abridgement	sự rút ngắn, sự cô gọn, sự tóm tắt
Abridger	- xem abridge
Abridgment	sự rút ngắn, sự cô gọn, sự tóm tắt
Abroach	bị giùi lỗ
Abroad	ở nước ngoài
Abrogable	có thể hủy bỏ
Abrogate	bãi bỏ, huỷ bỏ, thủ tiêu
Abrogation	sự bãi bỏ, sự huỷ bỏ, sự thủ tiêu
Abrogative	bị hủy bỏ
Abrupt	bất ngờ, đột ngột
Abrupt junction	tiếp giáp dốc thẳng đứng
Abrupt junction diode	đèn hai cực tiếp giáp dốc thẳng đứng
Abruption	sự đứt rời, sự gãy rời
Abruptly	bất ngờ, đột ngột
Abruptness	sự bất ngờ, sự đột ngột, sự vội vã
Abscess	(y học) áp xe
Abscessed	(y học) bị áp-xe
Abscise	cắt ra, bị cắt ra
Absciss	(toán học) hoành độ
Abscission	(y học) sự cắt bỏ
Abscond	lẫn trốn, bỏ trốn
Absconder	người lẫn trốn, người bỏ trốn
Abseil	trèo xuống, tụt xuống
Absence	vắng mặt
Absence or presence	vắng mặt hay hiện diện, không hay có
Absent	vắng mặt, đi vắng, nghỉ
Absent service	dịch vụ (truyền đạt lúc) vắng mặt
Absent subscriber service	- (tech) dịch vụ thuê bao vắng mặt
Absent transfer	truyền đạt vắng mặt
Absent-minded	lơ đãng
Absent-mindedly	đãng trí
Absent-mindedness	sự lơ đãng, tính lơ đãng
Absentation	sự vắng mặt, trạng thái lơ đãng, không chú ý
Absentee	người vắng mặt, người đi vắng
Absently	lơ đãng
Absinth	cây apxin, cây ngải đắng
Absinthe	cây apxin, cây ngải đắng
Absinthian	(thuộc) apxin
Absolutary	xá tội
Absolute	tuyệt đối
Absolute address	địa chỉ tuyệt đối
Absolute address variable	biến số địa chỉ tuyệt đối
Absolute addressing	phương pháp định địa chỉ tuyệt đối
Absolute advantage	lợi thế tuyệt đối.
Absolute altimeter	máy đo độ cao tuyệt đối
Absolute ampere	ampe tuyệt đối
Absolute coordinate	tọa độ tuyệt đối
Absolute data	dữ kiện tuyệt đối
Absolute electrometer	điện tĩnh kế tuyệt đối
Absolute element	phần tử tuyệt đối
Absolute error	sai số tuyệt đối
Absolute expression	biểu thức tuyệt đối
Absolute file specifier	tên gọi tuyệt đối của tập tin
Absolute galvanometer	điện kế tuyệt đối
Absolute level	mức tuyệt đối
Absolute loader	bộ nạp tuyệt đối
Absolute path name	tên đường tuyệt đối
Absolute permeability	độ từ thẩm tuyệt đối
Absolute permittivity	hằng số điện môi tuyệt đối
Absolute phase	vị tướng/pha tuyệt đối
Absolute plotting	phép vẽ dùng vị trí tuyệt đối
Absolute plotting unit	đơn vị vẽ tuyệt đối
Absolute position	vị trí tuyệt đối
Absolute scarcity	khan hiếm tuyệt đối
Absolute temperature	nhiệt độ tuyệt đối
